,性別,父牛,母の父,母の祖父,母の祖祖父,日令,体重,価格,年月日
0,去勢,愛之国,安福（岐）,平茂勝,金幸,292,276,618200,2022-04-07
1,去勢,愛之国,安福久,平茂勝,安平,286,293,782100,2022-04-07
2,雌,愛之国,華春福,安福久,忠茂勝,297,305,697400,2022-04-07
3,雌,愛之国,美国桜,美津照重,勝平正,297,258,676500,2022-04-07
4,去勢,愛之国,百合勝安,安福勝,寿恵福,297,301,712800,2022-04-07
5,去勢,愛之国,百合茂,金幸,神高福,294,320,864600,2022-04-07
6,去勢,愛之国,茂重安福（岐）,平茂勝,糸福（大）,309,296,697400,2022-04-07
7,雌,愛之国,茂勝朗,安福久,平茂勝,305,275,690800,2022-04-07
8,雌,愛之国,茂勝朗,美津照重,安福久,296,285,711700,2022-04-07
9,雌,愛之国,隆之国,安福久,勝忠平,292,280,693000,2022-04-07
10,雌,愛之国,隆之国,勝忠平,安福１６５の９,286,275,685300,2022-04-07
11,雌,愛之国,隆之国,百合茂,安福久,296,245,616000,2022-04-07
12,去勢,安亀忠,安福久,安茂勝,安平,265,285,751300,2022-04-07
13,雌,安亀忠,安福久,百合茂,第１花国,290,291,691900,2022-04-07
14,去勢,安亀忠,安福久,百合茂,平茂勝,295,315,921800,2022-04-07
15,去勢,安亀忠,安福久,百合茂,北国７の８,266,313,889900,2022-04-07
16,雌,安亀忠,菊花国,安福１６５の９,安平,277,290,693000,2022-04-07
17,去勢,安亀忠,幸紀雄,安福久,勝忠平,300,312,947100,2022-04-07
18,雌,安亀忠,勝忠平,安福久,平茂勝,271,309,711700,2022-04-07
19,雌,安亀忠,勝忠平,美津福,糸秀,277,288,683100,2022-04-07
20,雌,安亀忠,徳悠翔,平茂晴,平茂勝,278,263,622600,2022-04-07
21,雌,安亀忠,百合茂,安福久,忠富士,303,291,691900,2022-04-07
22,雌,安亀忠,百合茂,安福久,平茂勝,294,293,712800,2022-04-07
23,雌,安亀忠,萬福８,百合茂,糸福（大）,270,290,642400,2022-04-07
24,雌,安福久,耕富士,福之国,忠富士,289,282,1669800,2022-04-07
25,雌,安福久,白鵬８５の３,百合茂,平茂勝,278,272,716100,2022-04-07
26,去勢,安福久,白鵬８５の３,百合茂,平茂勝,265,290,768900,2022-04-07
27,去勢,安福久,白鵬８５の３,百合茂,平茂勝,267,330,856900,2022-04-07
28,去勢,安福久,美国桜,勝平正,福桜（宮）,267,314,713900,2022-04-07
29,雌,安福久,美国桜,勝平正,福桜（宮）,311,294,1413500,2022-04-07
30,去勢,安福久,美津照重,勝忠平,第１花国,275,300,664400,2022-04-07
31,去勢,安福久,美津照重,勝忠平,第１花国,281,291,708400,2022-04-07
32,去勢,安福久,百合白清２,福桜（宮）,安平,260,242,449900,2022-04-07
33,雌,安福久,百合茂,安平,福桜（宮）,274,303,1564200,2022-04-07
34,去勢,安福久,平茂勝,安平,糸秀,300,331,733700,2022-04-07
